"CARLOS E ELIANE LTDA ME(00007)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CARLAS SOUZA PORTO"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Emissão: 09:57","","","","28/10/2019"
"Relatório Completo de Empresas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Página: 1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dados - Cadastrais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Registro na Junta Comercial","","","","","","","","","","","","","","","","","","","","","","",""
"","","Endereço...:","","","TV SANA, S/N","","","","","","","","","","","","","","","","","","","","","","Bairro:...........:","","","","CENTRO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","CEP...............:","","","","27913-030","","","","","","","","","","","","U.F.:","","RJ","","","","","","Data.....:","","","","","","","","","","","","","","","","","","","","","","",""
"","","Cidade........:","","","Macaé","","","","","","","","","","","","","","","","","","","","","","Telefone........:","","","","2226343889","","","","","","","","","","","","","","","","","","","","Número.:","","","","","","","","","","","","","","","","","","","","","","",""
"","","E-Mail........:","","","carlasporto@hotmail.com","","","","","","","","","","","","","","","","","","","","","","CNPJ.............:","","","","18.146.054/0001-25","","","","","","","","","","","","","","","","","","","","CEI ...........:","","","","","","","","","","","","","","","","","","","","","","",""
"","","Atividade...:","","","HÓTEIS","","","","","","","","","","","","","","","","","","","","","","Insc.Estad......:","","","","ISENTO","","","","","","","","","","","","","","","","","","","","Ag. Alter...:","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Insc.Munic.:","","","ISENTO","","","","","","","","","","","","","","","","","","","","","","Reg. Cartório.:","","","","","","","","","","","","","","","","","","","","","","","","Tem Adiantamento ?","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Início Ativ.....:","","","","18/12/2012","","","","","","","","","","","","","","","","","","","","","Capital...........:","","","","1","","","","","","","","","","","","","","","","","","","","% Adiantamento :","","","","","","","","","","","","","","","","0","","% ","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Fim Ativ........:","","","","","","","","","","","","","","","","","","","","","","","","","Regime Pagto Folha :","","","","","","","","","","","Regime de Competência","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Arred. Folha..:","","","","0,00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dados - Geral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Imposto Simples :","","","","","","Sim","","","","","","","","","","","","","","","","","","Fat. acima de 1.200.000 / ANO:","","","","","","","","","","","","","","","","Não","","","","","","","","","","Cód. Emp. WCont:","","","","","","","","","","","","","","","","","","","","","",""
